Questions,Blooms Taxonomy
"Given is an array after the first partition of quicksort: 3, 0, 2, 4, 10, 8, 7, 6, 9. Which of the element could be the pivot?",remember
How many steps are required to solve Tower of Hanoi problem with N discs?,remember
How many comparisons are required to find element 45 using Binary Search? 27 34 36 37 38 40 42 45 60,remember
"Given an array A[-3:4, 6:10], Find the address of A[0][7] if array elements are organized in Row-Major order. Base Address is 2100. Each element takes 2 bytes for storage.",remember
"Consider the following list of 10 numbers: 35, 65, 15, 45, 95, 75, 85, 55, 25,5. Perform the Bubble Sort on the list and show the data after each pass. What is the Number of Exchanges and comparisons?",apply
Convert the given arithmetic expression into postfix form using stack: A+B*(C/D)-(E/F)+G,evaluate
What are the different types of Queues? Explain each with suitable example.,understand
"Sort the following numbers using Quick Sort algorithm: 4,9,6,12,34,1,90,45,23. Show the Steps.",apply
Define stable sorting algorithm. Is selection sort stable? Justify your answer with appropriate example,evaluate
What can be the condition to check for overflow and underflow in circular queue? Explain with example.,understand
Consider the given singly linked list in which nodes contain INFO and LINK fields.Write steps to insert the node with INFO 28 such that it preserves the ordering of the terms in increasing order of their INFO fields.,create
The Given function tofront() takes a singly-linked list as input argument. Add the Conditions and Statements to move the last element to the front of the list and returns the modified list.,apply
Write an algorithm to insert a node at beginning in circular linked list.,create
What can be the maximum number of nodes in binary tree with height 4?,remember
What is the chromatic number of a complete graph with n vertices?,remember
State True or False: Inorder Traversal of a Binary search tree gives data in descending order.,remember
"In a complete Binary Tree, every internal node has exactly 2 children. What are the number of leaves in such a tree with N internal nodes? Justify with any example.",evaluate
What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,analyze
"A hash table of length 9 uses hash function h(k)= k mod 9, and linear probing for collision resolution. Insert the following values in given order into the hash table. 9,12,15,33,80,53,50,95",apply
"Construct Binary search tree from the following numbers: 23, 56, 45, 32, 89,12, 9, 36, 90, 22, 8, 10, 87. Delete 56 and 12. Show BST after each deletion.",apply
Find the minimum spanning tree of a given Graph using Kruskal’s algorithm.,remember
Find the total weight of the minimum spanning tree using Prim’s algorithm. Start vertex is 1.,remember
"Perform ascending order sorting for following data using Max Heap Tree. 2,7,26,25,19,17,1,90",apply
The Inorder and Postorder traversals of a binary tree are given below:Inorder: G D H B E I A F J C Postorder: G H D I E B J F C A Construct a binary tree and write down the preorder traversal of the binary tree.,create
Given the adjacency matrix of a directed graph. Find the DFS sequence. (Start vertex is 1),remember
Construct an AVL Tree from given instructions. Show balance factors with each step.,apply
"What is the complexity of running Quick sort on an array of size n, which is already sorted?",remember
"State True or False: In a linked list representation of the simple queue, insertion should be performed at end and deletion should be performed from beginning.",remember
Why is it possible to access elements of an array in random order?,understand
"Given an array A[-3:3, 5:10], Find the address of A[0][8] if array elements are organized in Column-Major order. Base Address is 200. Each element takes 2 bytes for storage.",remember
"Convert the following expression into postfix form using stack: A*(B+C)*D-E. evaluate the postfix form for A=4, B=8, C= (-2),D=3,E=9.",evaluate
"Given code deletes the node which doesn't follow the ascending order sequence from this linked list : 3>>>4>>>5>>>6>>>7>>>9>>>8>>>10. Write the correct statements for a1,a2,a3,a4.",create
Explain the recursion stack for tower of Hanoi for number of discs=3.,understand
Explain different cases of overflow condition for Circular Queue. Also mention the condition to display the queue contents for every case.,understand
Consider the structure to store the details of students who have registered for the Codechef contest. Details are arranged in ascending order (not necessarily contiguous) by roll numbers. Mention the efficient approach to change the last name of a student with any given roll number. Show the steps with any example.,apply
Compare Bubble sort and Selection sort for the following example with respect to number of passes and complexity.,understand
"Consider the doubly linked list with data 34,78,65,67,39. 1. Write the steps to insert node with data 100 at end. 2. Write the steps to delete a node with data 67.",create
"Consider the two sorted list T1: 5,8,11 and T2: 4,6,9,15,20,28. Write steps to merge the T1 and T2 in ascending order.",create
"Write steps to replace recursion with a stack, to find the factorial of number 6.",create
What is the maximum number of edges in an acyclic undirected graph with n vertices?,remember
What is the maximum height of any AVL-tree with 12 nodes?,remember
A simple Graph has 24 edges and degree of each vertex is 4. Find the number of vertices.,remember
Match the following:,remember
Justify that hashing is an efficient searching method compared to Linear search and Binary search.,evaluate
"The keys 22, 38, 33, 12, 3, 43, 15 and 85 are inserted into an initially empty hash table of length 10 using open addressing with hash function h(k) = k mod 10 and linear probing. What is the resultant hash table and number of collisions?",remember
Show the adjacency matrix representation of the following graph. Find the in degree and out degree of every node from adjacency matrix.,apply
apply Depth First traversal on following graph. Mention the sequence of each visited node using stack. Assume that Starting vertex is A and visit the vertices in alphabetical order.,apply
Define the following terminologies:,remember
"Preorder traversals of a binary search tree is given below: 45,11,23,41,39,85,77,68,96. Construct a binary search tree and write down the postorder traversal.",apply
"What is the advantage of AVL tree over BST? Insert the following keys in an empty AVL tree. Balance the tree wherever required. 89,67,55,54,34,33,32,22,12",apply
Draw the recursion tree for preorder traversal of a following binary tree:,analyze
"Find the level order traversal of a complete binary tree. 6,3,5,4,18,11,12,16,10,9 . apply the heap sort to arrange the numbers in ascending order.",apply
Binary Tree with Threads are called as ___________,remember
Which of the following indicates pre-order traversal?,remember
